איזור גידול,סוג חלקה,אורגני,מספר חלקה ,מספר חלקה מפורט,_id,שם חלקת אם,שם חלקה מפורט,שטח ברוטו (דונם),מגוף השקייה,מקור מים,דונם לגידול שלחין,type,דוררת,גרב אבקי,אבנים,רגישות לקרה,חיטוי אדיגן
בית קמה,פלחה,רגיל,173,173,173-1,מצבה מזרח,מצבה מזרח,218,,,218,plot,,,,,
בית קמה,פלחה,רגיל,173,173,173-2,מצבה מזרח,מצבה מזרח,10,,,10,plot,,,,,
בית קמה,שלחין,אורגני,175,175-1,175-1,מצבה מרכז,מצבה מרכז - 1,90,ביוב בית קמה,ביוב בית קמה,90,plot,,,,,
בית קמה,שלחין,אורגני,175,175-2,175-2,מצבה מרכז,מצבה מרכז - 2,81,ביוב בית קמה,ביוב בית קמה,81,plot,,,,,
בית קמה,שלחין,אורגני,174,174-1,174-1--1,מצבה צפון,מצבה צפון - 1,42,92,"שפד""ן בית קמה",42,plot,,,,,
בית קמה,שלחין,אורגני,174,174-1,174-1--2,מצבה צפון,מצבה צפון - 1,38,92,"שפד""ן בית קמה",38,plot,,,,,
בית קמה,פלחה,אורגני,174,174-3,174-3,מצבה צפון,מצבה צפון - 3,67,,,67,plot,,,,,
בית קמה,שלחין,רגיל,131,131-1,131-1--1,משולשים 1,משולשים 1 דרום,93,34,"שפד""ן בית קמה",93,plot,,,,,
בית קמה,שלחין,רגיל,131,131-1,131-1--2,משולשים 1,משולשים 1 דרום,76,34,"שפד""ן בית קמה",76,plot,,,,,
בית קמה,שלחין,רגיל,131,131-2,131-2--1,משולשים 1,משולשים 1 צפון,52,34,"שפד""ן בית קמה",52,plot,,,,,
בית קמה,שלחין,רגיל,131,131-2,131-2--2,משולשים 1,משולשים 1 צפון,84,34,"שפד""ן בית קמה",70,plot,,,,,
בית קמה,שלחין,רגיל,131,131-3,131-3,משולשים 1,משולשים 1 מערב,47,34,"שפד""ן בית קמה",40,plot,,,,,
בית קמה,פלחה,רגיל,131-9,131-9,131-9--1,משולשים 1 פלחה,משולשים 1 פלחה,127,,,127,plot,,,,,
בית קמה,פלחה,רגיל,131-9,131-9,131-9--2,משולשים 1 פלחה,משולשים 1 פלחה,11,,,11,plot,,,,,
בית קמה,פלחה,רגיל,131-9,131-9,131-9--3,משולשים 1 פלחה,משולשים 1 פלחה,11,,,11,plot,,,,,
בית קמה,פלחה,רגיל,131-9,131-9,131-9--4,משולשים 1 פלחה,משולשים 1 פלחה,22,,,22,plot,,,,,
בית קמה,שלחין,רגיל,132,132-2,132-2,משולשים 2,משולשים 2 מרכז,103,34,"שפד""ן בית קמה",91,plot,,,,,
בית קמה,שלחין,רגיל,132,132-1,132-1,משולשים 2,משולשים 2 דרום,87,34,"שפד""ן בית קמה",74,plot,,,,,
בית קמה,פלחה,רגיל,132-9,132-9,132-9--1,משולשים 2 פלחה,משולשים 2 פלחה,20,,,20,plot,,,,,
בית קמה,פלחה,רגיל,132-9,132-9,132-9--2,משולשים 2 פלחה,משולשים 2 פלחה,185,,,185,plot,,,,,
בית קמה,פלחה,רגיל,133,133,133,משולשים 3,משולשים 3,505,,,505,plot,,,,,
מיגדה,שלחין,רגיל,1061,1061-2,1061-2,נעמה דרום,נעמה דרום - 2,108,114,"שפד""ן מיגדה",108,plot,,,,,
מיגדה,שלחין,רגיל,1061,1061-3,1061-3,נעמה דרום,נעמה דרום - 3,127,115,"שפד""ן מיגדה",127,plot,,,,,
מיגדה,שלחין,רגיל,1063,1063-2,1063-2,נעמה מרכז,נעמה מרכז - 2,41,114,"שפד""ן מיגדה",41,plot,,,,,
מיגדה,שלחין,רגיל,1063,1063-3,1063-3,נעמה מרכז,נעמה מרכז - 3,104,115,"שפד""ן מיגדה",104,plot,,,,,
מיגדה,שלחין,רגיל,1064,1064,1064,נעמה צפון,נעמה צפון,105,115,"שפד""ן מיגדה",105,plot,,,,,
בית קמה,שלחין,רגיל,137,137,137,סונול,סונול,159,3,"שפד""ן בית קמה",144,plot,,,,,
בית קמה,שלחין,אורגני,134,134-1,134-1--1,סיביר 1-2 דרום,סיביר - 1 דרום,33,21,"שפד""ן בית קמה",33,plot,,,,,
בית קמה,שלחין,אורגני,134,134-1,134-1--2,סיביר 1-2 דרום,סיביר - 1 דרום,39,21,"שפד""ן בית קמה",39,plot,,,,,
בית קמה,שלחין,אורגני,134,134-2,134-2,סיביר 1-2 דרום,סיביר - 2 דרום,62,22,"שפד""ן בית קמה",62,plot,,,,,
בית קמה,שלחין,אורגני,138,138-1,138-1,סיביר 1-2 צפון,סיביר - 1 צפון,116,21,"שפד""ן בית קמה",116,plot,,,,,
בית קמה,שלחין,אורגני,138,138-2,138-2,סיביר 1-2 צפון,סיביר - 2 צפון,113,22,"שפד""ן בית קמה",113,plot,,,,,
בית קמה,שלחין,רגיל,139,139-3,139-3,סיביר 3-4 דרום,סיביר - 3 דרום,99,23,"שפד""ן בית קמה",95,plot,,,,,
בית קמה,שלחין,רגיל,139,139-4,139-4,סיביר 3-4 דרום,סיביר - 4 דרום,114,24,"שפד""ן בית קמה",109,plot,,,,,
בית קמה,שלחין,רגיל,140,140-3,140-3,סיביר 3-4 צפון,סיביר - 3 צפון,83,23,"שפד""ן בית קמה",83,plot,,,,,
בית קמה,שלחין,רגיל,140,140-4,140-4,סיביר 3-4 צפון,סיביר - 4 צפון,162,24,"שפד""ן בית קמה",162,plot,,,,,
בית קמה,שלחין,רגיל,141,141,141-1,סיביר 5,סיביר - 5,23,24,"שפד""ן בית קמה",23,plot,,,,,
בית קמה,שלחין,רגיל,141,141,141-2,סיביר 5,סיביר - 5,92,24,"שפד""ן בית קמה",92,plot,,,,,
בית קמה,שלחין,רגיל,141,141,141-3,סיביר 5,סיביר - 5,87,24,"שפד""ן בית קמה",87,plot,,,,,
בית קמה,שלחין,רגיל,143,143-3,143-3--1,עגולה דרום,עגולה דרום - 3,42,53,"שפד""ן בית קמה",42,plot,,,,,
בית קמה,שלחין,רגיל,143,143-5,143-5,עגולה דרום,עגולה דרום - 5,80,55,"שפד""ן בית קמה",80,plot,,,,,
בית קמה,שלחין,רגיל,143,143-1,143-1--1,עגולה דרום,עגולה דרום - 1,67,51,"שפד""ן בית קמה",67,plot,,,,,
בית קמה,שלחין,רגיל,143,143-2,143-2--1,עגולה דרום,עגולה דרום - 2,97,52,"שפד""ן בית קמה",97,plot,,,,,
בית קמה,שלחין,רגיל,143,143-1,143-1--2,עגולה דרום,עגולה דרום - 1,94,51,"שפד""ן בית קמה",94,plot,,,,,
בית קמה,שלחין,רגיל,143,143-2,143-2--2,עגולה דרום,עגולה דרום - 2,60,52,"שפד""ן בית קמה",60,plot,,,,,
בית קמה,שלחין,רגיל,143,143-3,143-3--2,עגולה דרום,עגולה דרום - 3,93,53,"שפד""ן בית קמה",93,plot,,,,,
בית קמה,שלחין,רגיל,143,143-4,143-4--1,עגולה דרום,עגולה דרום - 4,42,54,"שפד""ן בית קמה",42,plot,,,,,
בית קמה,שלחין,רגיל,143,143-4,143-4--2,עגולה דרום,עגולה דרום - 4,17,54,"שפד""ן בית קמה",17,plot,,,,,
בית קמה,פלחה,רגיל,143-9,143-9,143-9,עגולה פלחה,עגולה פלחה,452,,,452,plot,,,,,
בית קמה,שלחין,רגיל,144,144-1,144-1,עגולה צפון,עגולה צפון - 1,35,51,"שפד""ן בית קמה",30,plot,,,,,
בית קמה,שלחין,רגיל,144,144-2,144-2,עגולה צפון,עגולה צפון - 2,70,52,"שפד""ן בית קמה",65,plot,,,,,
בית קמה,שלחין,רגיל,144,144-3,144-3,עגולה צפון,עגולה צפון - 3,76,53,"שפד""ן בית קמה",70,plot,,,,,
בית קמה,שלחין,רגיל,144,144-4,144-4,עגולה צפון,עגולה צפון - 4,38,54,"שפד""ן בית קמה",31,plot,,,,,
בית קמה,שלחין,רגיל,144,144-5,144-5,עגולה צפון,עגולה צפון - 5,73,55,"שפד""ן בית קמה",66,plot,,,,,
בית קמה,פלחה,רגיל,145,145,145-1,עץ 1,עץ 1,447,,,447,plot,,,,,
בית קמה,פלחה,רגיל,145,145,145-2,עץ 1,עץ 1,23,,,23,plot,,,,,
בית קמה,שלחין,רגיל,146,146-1,146-1,עץ 2,עץ 2,52,34,"שפד""ן בית קמה",52,plot,,,,,
בית קמה,פלחה,רגיל,146-9,146-9,146-9--1,עץ 2 פלחה,עץ 2 פלחה,234,,,234,plot,,,,,
בית קמה,פלחה,רגיל,146-9,146-9,146-9--2,עץ 2 פלחה,עץ 2 פלחה,16,,,16,plot,,,,,
בית קמה,פלחה,רגיל,147,147,147,עץ 3,עץ 3,204,,,204,plot,,,,,
בית קמה,שלחין,רגיל,155,155-1,155-1,פנמה כביש,פנמה כביש - 1,20,11,"שפד""ן בית קמה",20,plot,,,,,
בית קמה,שלחין,רגיל,155,155-2,155-2,פנמה כביש,פנמה כביש - 2,66,12,"שפד""ן בית קמה",70,plot,,,,,
בית קמה,שלחין,רגיל,155,155-3,155-3,פנמה כביש,פנמה כביש - 3,76,13,"שפד""ן בית קמה",57,plot,,,,,
בית קמה,שלחין,רגיל,148,148,148,פנמה מזרח,פנמה מזרח,78,11,"שפד""ן בית קמה",78,plot,,,,,
בית קמה,שלחין,רגיל,152,152-1,152-1,פנמה מערב,פנמה מערב - 1,47,11,"שפד""ן בית קמה",47,plot,,,,,
בית קמה,שלחין,רגיל,152,152-2,152-2,פנמה מערב,פנמה מערב - 2,49,12,"שפד""ן בית קמה",49,plot,,,,,
בית קמה,שלחין,רגיל,150,150-1,150-1,פנמה מרכז,פנמה מרכז - 1,42,11,"שפד""ן בית קמה",42,plot,,,,,
בית קמה,שלחין,רגיל,150,150-2,150-2,פנמה מרכז,פנמה מרכז - 2,19,12,"שפד""ן בית קמה",19,plot,,,,,
בית קמה,שלחין,אורגני,126,126-1,126-1--1,פרדס מזרח,פרדס מזרח - 1,53,61,"שפד""ן בית קמה",53,plot,,,,,
בית קמה,שלחין,אורגני,126,126-1,126-1--2,פרדס מזרח,פרדס מזרח - 1,32,61,"שפד""ן בית קמה",28,plot,,,,,
בית קמה,שלחין,אורגני,126,126-1,126-1--3,פרדס מזרח,פרדס מזרח - 1,72,61,"שפד""ן בית קמה",72,plot,,,,,
בית קמה,שלחין,אורגני,126,126-2,126-2--1,פרדס מזרח,פרדס מזרח - 2,25,62,"שפד""ן בית קמה",17,plot,,,,,
בית קמה,שלחין,אורגני,126,126-2,126-2--2,פרדס מזרח,פרדס מזרח - 2,11,62,"שפד""ן בית קמה",11,plot,,,,,
בית קמה,שלחין,אורגני,126,126-2,126-2--3,פרדס מזרח,פרדס מזרח - 2,127,62,"שפד""ן בית קמה",105,plot,,,,,
בית קמה,שלחין,רגיל,156,156-1,156-1--1,פרדס מערב,פרדס מערב - 1,75,63,"שפד""ן בית קמה",75,plot,,,,,
בית קמה,שלחין,רגיל,156,156-2,156-2--1,פרדס מערב,פרדס מערב - 2,75,64,"שפד""ן בית קמה",75,plot,,,,,
בית קמה,שלחין,רגיל,156,156-1,156-1--2,פרדס מערב,פרדס מערב - 1,109,63,"שפד""ן בית קמה",109,plot,,,,,
בית קמה,שלחין,רגיל,156,156-2,156-2--2,פרדס מערב,פרדס מערב - 2,116,64,"שפד""ן בית קמה",116,plot,,,,,
בית קמה,שלחין,רגיל,186,186,186,פרו,פרו,66,60,"שפד""ן בית קמה",66,plot,,,,,
בית קמה,פלחה,רגיל,158,158,158-1,צפון מזרח,צפון מזרח,271,,,237,plot,,,,,
בית קמה,פלחה,רגיל,158,158,158-2,צפון מזרח,צפון מזרח,53,,,53,plot,,,,,
בית קמה,שלחין,רגיל,159,159-1,159-1,צפון מערב,צפון מערב - 1,63,35,"שפד""ן בית קמה",73,plot,,,,,
בית קמה,שלחין,רגיל,159,159-2,159-2,צפון מערב,צפון מערב - 2,105,36,"שפד""ן בית קמה",108,plot,,,,,
בית קמה,פלחה,רגיל,159-9,159-9,159-9,צפון מערב פלחה,צפון מערב פלחה,55,,,55,plot,,,,,
בית קמה,פלחה,רגיל,170,170,170-1,קוברה,קוברה,48,,,48,plot,,,,,
בית קמה,פלחה,רגיל,170,170,170-2,קוברה,קוברה,9,,,9,plot,,,,,
מיגדה,שלחין,רגיל,1056,1056-1,1056-1--1,קטן דרום,קטן דרום - 1,103,121,"שפד""ן מיגדה",96,plot,,,,,
מיגדה,שלחין,רגיל,1056,1056-2,1056-2--1,קטן דרום,קטן דרום - 2,96,122,"שפד""ן מיגדה",90,plot,,,,,
מיגדה,שלחין,רגיל,1056,1056-1,1056-1--2,קטן דרום,קטן דרום - 1,77,121,"שפד""ן מיגדה",72,plot,,,,,
מיגדה,שלחין,רגיל,1056,1056-2,1056-2--2,קטן דרום,קטן דרום - 2,73,122,"שפד""ן מיגדה",68,plot,,,,,
מיגדה,שלחין,רגיל,1055,1055-1,1055-1,קטן צפון,קטן צפון - 1,53,121,"שפד""ן מיגדה",50,plot,,,,,
מיגדה,שלחין,רגיל,1055,1055-2,1055-2,קטן צפון,קטן צפון - 2,104,122,"שפד""ן מיגדה",100,plot,,,,,
בית קמה,שלחין,אורגני,164,164,164,רודוס,רודוס,174,61,"שפד""ן בית קמה",163,plot,,,,,
בית קמה,שלחין,רגיל,168,168-1,168-1,רוחמה דרום,רוחמה דרום - 1,126,81,"שפד""ן בית קמה",126,plot,,,,,
בית קמה,שלחין,רגיל,168,168-2,168-2,רוחמה דרום,רוחמה דרום - 2,113,82,"שפד""ן בית קמה",113,plot,,,,,
בית קמה,שלחין,רגיל,167,167,167,רוחמה מזרח,רוחמה מזרח,101,81,"שפד""ן בית קמה",101,plot,,,,,
בית קמה,פלחה,רגיל,166,166,166-1,רוחמה מערב,רוחמה מערב,15,,,15,plot,,,,,
בית קמה,שלחין,רגיל,166,166,166-2,רוחמה מערב,רוחמה מערב,164,82,"שפד""ן בית קמה",164,plot,,,,,
בית קמה,פלחה,רגיל,165,165,165-1,רוחמה פלחה,רוחמה פלחה,45,,,45,plot,,,,,
בית קמה,פלחה,רגיל,165,165,165-2,רוחמה פלחה,רוחמה פלחה,103,,,103,plot,,,,,
בית קמה,פלחה,רגיל,165,165,165-3,רוחמה פלחה,רוחמה פלחה,12,,,12,plot,,,,,
משמר הנגב,מטעים,רגיל,2010,2010,2010,רימונים,רימונים,515,,מאגר רהט,515,plot,,,,,
בית קמה,שלחין,רגיל,182,182-1,182-1,שובלים דרום,שובלים דרום - 1,84,71,"שפד""ן בית קמה",84,plot,,,,,
בית קמה,שלחין,רגיל,182,182-2,182-2,שובלים דרום,שובלים דרום - 2,81,72,"שפד""ן בית קמה",81,plot,,,,,
בית קמה,שלחין,רגיל,182,182-3,182-3,שובלים דרום,שובלים דרום - 3,87,73,"שפד""ן בית קמה",87,plot,,,,,
בית קמה,שלחין,רגיל,181,181-1,181-1,שובלים מרכז,שובלים מרכז - 1,69,71,"שפד""ן בית קמה",70,plot,,,,,
בית קמה,שלחין,רגיל,181,181-2,181-2,שובלים מרכז,שובלים מרכז - 2,63,72,"שפד""ן בית קמה",63,plot,,,,,
בית קמה,שלחין,רגיל,181,181-3,181-3,שובלים מרכז,שובלים מרכז - 3,68,73,"שפד""ן בית קמה",65,plot,,,,,
בית קמה,פלחה,רגיל,185,185,185-1,שובלים פלחה,שובלים פלחה,33,,,33,plot,,,,,
בית קמה,פלחה,רגיל,185,185,185-2,שובלים פלחה,שובלים פלחה,8,,,8,plot,,,,,
בית קמה,פלחה,רגיל,185,185,185-3,שובלים פלחה,שובלים פלחה,14,,,14,plot,,,,,
בית קמה,שלחין,רגיל,180,180-1,180-1,שובלים צפון,שובלים צפון - 1,75,71,"שפד""ן בית קמה",62,plot,,,,,
בית קמה,שלחין,רגיל,180,180-2,180-2,שובלים צפון,שובלים צפון - 2,69,72,"שפד""ן בית קמה",61,plot,,,,,
בית קמה,שלחין,רגיל,180,180-3,180-3,שובלים צפון,שובלים צפון - 3,77,73,"שפד""ן בית קמה",61,plot,,,,,
