איזור גידול,סוג חלקה,אורגני,מספר חלקה ,מספר חלקה מפורט,_id,שם חלקת אם,שם חלקה מפורט,שטח ברוטו (דונם),מגוף השקייה,מקור מים,דונם לגידול שלחין,type,דוררת,גרב אבקי,אבנים,רגישות לקרה,חיטוי אדיגן
משמר הנגב,שלחין,רגיל,2017,2017-1,2017-1,17,17-1,134,159,מאגר רהט,123,plot,,,,,
משמר הנגב,שלחין,רגיל,2017,2017-2,2017-2,17,17-2,177,162,מאגר רהט,174,plot,,,,,
משמר הנגב,שלחין,רגיל,2018,2018,2018,18,18,111,160,מאגר רהט,111,plot,,,,,
משמר הנגב,פלחה,רגיל,2020,2020,2020,20,20,235,,,235,plot,,,,,
משמר הנגב,שלחין,רגיל,2021,2021-1,2021-1,21,21-1,127,181,מאגר רהט,120,plot,,,,,
משמר הנגב,שלחין,רגיל,2021,2021-2,2021-2,21,21-2,106,182,מאגר רהט,95,plot,,,,,
משמר הנגב,שלחין,רגיל,2022,2022-1,2022-1--1,22,22-1,133,162,מאגר רהט,133,plot,,,,,
משמר הנגב,שלחין,רגיל,2022,2022-2,2022-2--1,22,22-2,100,163,מאגר רהט,100,plot,,,,,
משמר הנגב,שלחין,רגיל,2022,2022-3,2022-3--1,22,22-3,100,164,מאגר רהט,100,plot,,,,,
משמר הנגב,שלחין,רגיל,2022,2022-2,2022-2--2,22,22-2,185,163,מאגר רהט,185,plot,,,,,
משמר הנגב,שלחין,רגיל,2022,2022-3,2022-3--2,22,22-3,158,164,מאגר רהט,158,plot,,,,,
משמר הנגב,שלחין,רגיל,2024,2024-1,2024-1,24,24-1,154,181,מאגר רהט,154,plot,,,,,
משמר הנגב,שלחין,רגיל,2024,2024-2,2024-2,24,24-2,140,182,מאגר רהט,140,plot,,,,,
משמר הנגב,פלחה,רגיל,2025,2025,2025,25,25,117,,,117,plot,,,,,
משמר הנגב,שלחין,רגיל,2027,2027,2027,27,27,62,180,מאגר רהט,62,plot,,,,,
משמר הנגב,שלחין,רגיל,2033,2033-1,2033-1,33,33 - 1,137,181,מאגר רהט,136,plot,,,,,
משמר הנגב,שלחין,רגיל,2033,2033-2,2033-2,33,33 - 2,134,182,מאגר רהט,123,plot,,,,,
משמר הנגב,שלחין,רגיל,2034,2034,2034,34,34,140,182,מאגר רהט,140,plot,,,,,
משמר הנגב,שלחין,אורגני,2036,2036-1,2036-1,36,36-1,31,200,קידוח משמר הנגב,31,plot,,,,,
משמר הנגב,שלחין,אורגני,2036,2036-2,2036-2--1,36,36-2,42,200,קידוח משמר הנגב,42,plot,,,,,
משמר הנגב,שלחין,אורגני,2036,2036-3,2036-3--1,36,36-3,29,200,קידוח משמר הנגב,29,plot,,,,,
משמר הנגב,שלחין,אורגני,2036,2036-2,2036-2--2,36,36-2,58,200,קידוח משמר הנגב,58,plot,,,,,
משמר הנגב,שלחין,אורגני,2036,2036-3,2036-3--2,36,36-3,56,200,קידוח משמר הנגב,56,plot,,,,,
משמר הנגב,שלחין,אורגני,2036,2036-2,2036-2--3,36,36-2,92,200,קידוח משמר הנגב,92,plot,,,,,
משמר הנגב,שלחין,אורגני,2036,2036-3,2036-3--3,36,36-3,77,200,קידוח משמר הנגב,33,plot,,,,,
משמר הנגב,שלחין,אורגני,2036,2036-2,2036-2--4,36,36-2,80,200,קידוח משמר הנגב,62,plot,,,,,
משמר הנגב,שלחין,אורגני,2038,2038,2038-1,38,38,52,201,קידוח משמר הנגב,50,plot,,,,,
משמר הנגב,שלחין,אורגני,2038,2038,2038-2,38,38,66,201,קידוח משמר הנגב,64,plot,,,,,
משמר הנגב,שלחין,אורגני,2041,2041-1,2041-1,41,41 - 1,94,205,קידוח משמר הנגב,94,plot,,,,,
משמר הנגב,שלחין,אורגני,2041,2041-2,2041-2--1,41,41 - 2,80,205,קידוח משמר הנגב,80,plot,,,,,
משמר הנגב,שלחין,אורגני,2041,2041-2,2041-2--2,41,41 - 2,31,205,קידוח משמר הנגב,31,plot,,,,,
משמר הנגב,פלחה,רגיל,2043,2043,2043,43,43,289,,,289,plot,,,,,
משמר הנגב,שלחין,אורגני,2044,2044,2044,44,44,128,202,קידוח משמר הנגב,106,plot,,,,,
משמר הנגב,פלחה,אורגני,2045,2045,2045-1,45,45,2,,,2,plot,,,,,
משמר הנגב,פלחה,אורגני,2045,2045,2045-2,45,45,104,,,104,plot,,,,,
משמר הנגב,שלחין,אורגני,2046,2046-1,2046-1,46,46 - 1,84,203,קידוח משמר הנגב,63,plot,,,,,
משמר הנגב,שלחין,אורגני,2046,2046-2,2046-2,46,46 - 2,87,204,קידוח משמר הנגב,66,plot,,,,,
משמר הנגב,פלחה,רגיל,2048,2048,2048,48,48,146,,,146,plot,,,,,
מיגדה,שלחין,רגיל,1057,1057,1057,57,57,118,122,"שפד""ן מיגדה",118,plot,,,,,
מיגדה,שלחין,רגיל,1058,1058,1058,58,58,89,122,"שפד""ן מיגדה",65,plot,,,,,
מיגדה,פלחה,רגיל,1059,1059,1059-1,59,59,13,,,13,plot,,,,,
מיגדה,פלחה,רגיל,1059,1059,1059-2,59,59,20,,,20,plot,,,,,
משמר הנגב,שלחין,אורגני,2219,2219-1,2219-1,19 מזרח,19 - 1 מזרח,120,100,מאגר רהט,80,plot,,בחלק הדרום מערבי של החלקה יש אבנים,,,
משמר הנגב,שלחין,אורגני,2219,2219-2,2219-2,19 מזרח,19 - 2 מזרח,105,100,מאגר רהט,80,plot,,,,,
משמר הנגב,שלחין,אורגני,2019,2019-1,2019-1,19 מערב,19 - 1 מערב,76,100,מאגר רהט,76,plot,,,,אסור בגלל קרבה לכביש,
משמר הנגב,שלחין,אורגני,2019,2019-2,2019-2,19 מערב,19 - 2 מערב,119,100,מאגר רהט,119,plot,,,,אסור בגלל קרבה לכביש,
משמר הנגב,פלחה,רגיל,2022,2022-1,2022-1--2,22,22-1,10,,,10,plot,,,,,
משמר הנגב,פלחה,רגיל,2022,2022-3,2022-3,22,22-3,34,,,34,plot,,,,,
משמר הנגב,פלחה,רגיל,2034-9,2034-9,2034-9,34 פלחה,34 פלחה ,82,,,82,plot,,,,,
משמר הנגב,שלחין,אורגני,2035,2035,2035,35,35,85,200,קידוח משמר הנגב,85,plot,,,,,
משמר הנגב,פלחה,אורגני,2036-9,2036-9,2036-9--1,36 פלחה,36 פלחה,17,,,17,plot,,,,,
משמר הנגב,פלחה,אורגני,2036-9,2036-9,2036-9--2,36 פלחה,36 פלחה,75,,,75,plot,,,,,
משמר הנגב,שלחין,אורגני,2039,2039-1,2039-1--1,39,39 - 1,65,201,קידוח משמר הנגב,65,plot,,,,,
משמר הנגב,שלחין,אורגני,2039,2039-1,2039-1--2,39,39 - 1,83,201,קידוח משמר הנגב,67,plot,,,,,
משמר הנגב,שלחין,אורגני,2039,2039-1,2039-1--3,39,39 - 1,25,201,קידוח משמר הנגב,25,plot,,,,,
משמר הנגב,שלחין,אורגני,2039,2039-1,2039-1--4,39,39 - 1,92,201,קידוח משמר הנגב,86,plot,,,,,
משמר הנגב,שלחין,אורגני,2039,2039-2,2039-2--1,39,39 - 2,54,202,קידוח משמר הנגב,46,plot,,,,,
משמר הנגב,שלחין,אורגני,2039,2039-2,2039-2--2,39,39 - 2,54,202,קידוח משמר הנגב,54,plot,,,,,
משמר הנגב,שלחין,אורגני,2039,2039-2,2039-2--3,39,39 - 2,92,202,קידוח משמר הנגב,92,plot,,,,,
משמר הנגב,שלחין,רגיל,2004,2004-1,2004-1,4 דרום,4 - 1 דרום,72,141,משמר הנגב שפירים,71,plot,,,,,
משמר הנגב,שלחין,רגיל,2004,2004-2,2004-2,4 דרום,4 - 2 דרום,71,142,משמר הנגב שפירים,67,plot,,,,,
משמר הנגב,שלחין,רגיל,2004,2004-3,2004-3,4 דרום,4 - 3 דרום,68,143,משמר הנגב שפירים,69,plot,,,,,
משמר הנגב,שלחין,רגיל,2204,2204-1,2204-1,4 צפון,4 - 1 צפון,71,141,משמר הנגב שפירים,71,plot,,,,,
משמר הנגב,שלחין,רגיל,2204,2204-2,2204-2,4 צפון,4 - 2 צפון,68,142,משמר הנגב שפירים,68,plot,,,,,
משמר הנגב,שלחין,רגיל,2204,2204-3,2204-3,4 צפון,4 - 3 צפון,66,143,משמר הנגב שפירים,66,plot,,,,,
משמר הנגב,פלחה,אורגני,2046-9,2046-9,2046-9,46 פלחה,46 פלחה,98,,,98,plot,,,,,
משמר הנגב,שלחין,אורגני,2049,2049-1,2049-1--1,49,49-1,53,201,קידוח משמר הנגב,53,plot,,,,,
משמר הנגב,שלחין,אורגני,2049,2049-1,2049-1--2,49,49-1,24,201,קידוח משמר הנגב,24,plot,,,,,
משמר הנגב,שלחין,אורגני,2049,2049-1,2049-1--3,49,49-1,118,201,קידוח משמר הנגב,118,plot,,,,,
משמר הנגב,שלחין,אורגני,2049,2049-2,2049-2--1,49,49-2,76,202,קידוח משמר הנגב,76,plot,,,,,
משמר הנגב,שלחין,אורגני,2049,2049-2,2049-2--2,49,49-2,54,202,קידוח משמר הנגב,54,plot,,,,,
משמר הנגב,שלחין,אורגני,2049,2049-2,2049-2--3,49,49-2,65,202,קידוח משמר הנגב,65,plot,,,,,
משמר הנגב,שלחין,רגיל,2008,2008-1,2008-1--1,8 מערב,8 -1 מערב,67,174,מאגר רהט,67,plot,,,,,
משמר הנגב,שלחין,רגיל,2008,2008-1,2008-1--2,8 מערב,8 -1 מערב,68,174,מאגר רהט,68,plot,,,,,
משמר הנגב,שלחין,רגיל,2008,2008-2,2008-2,8 מערב,8 - 2 מערב,53,175,מאגר רהט,53,plot,,,,,
משמר הנגב,פלחה,רגיל,2208,2208,2208,8 צפון,8 צפון,207,,,207,plot,,,,,
